id,host_id,availability_365,number_of_reviews_ltm
24840696,375625,227,84.0
6082313,27954529,300,83.0
50566522,186012406,174,83.0
909007953674817274,250133187,325,83.0
4028518,20886062,231,83.0
1014241797783731116,372970218,47,83.0
5256656,26521943,102,83.0
24156044,23227275,37,83.0
7953354,27954529,284,82.0
519631,893805,294,82.0
25856449,170513081,323,82.0
5143895,8164313,94,82.0
5180175,12982991,27,82.0
679557036978962695,471646754,355,82.0
977745,5349333,48,82.0
30760234,228209547,307,82.0
30761115,228209257,320,81.0
931591920999936286,524588655,305,81.0
408599,2034854,300,81.0
45132322,183689967,252,81.0
4228483,893805,226,81.0
1604559,8548700,226,81.0
708585040013400709,478093362,32,81.0
1016077162868724001,287672372,67,81.0
961440575589611755,353119373,82,81.0
53235826,4064440,69,81.0
21390929,139063900,237,81.0
2122261,893805,312,80.0
923024480317224855,522320063,332,80.0
1530586,8164313,90,80.0
946938917935250086,528768110,141,80.0
33062227,10704,280,80.0
24978663,171753883,253,80.0
7296618,38218137,311,80.0
2510966,12854836,169,79.0
27607131,198580561,289,79.0
31758760,238115846,23,79.0
17021004,114154140,216,79.0
25562552,170513081,349,79.0
884482114156034982,51939140,39,79.0
40205628,45069320,301,79.0
705872390980259157,36113926,4,79.0
5483016,27954529,304,79.0
957760053909775261,374138888,262,79.0
1620515,893805,308,79.0
52098427,329237362,94,79.0
21390935,139063900,236,78.0
817360842246519465,499054233,193,78.0
6035889,375625,231,78.0
841227945221700701,503460304,311,78.0
3778832,19381366,289,78.0
44159663,355379355,296,78.0
862935044113232025,10704,328,78.0
2536314,8843962,345,78.0
27013203,85865864,97,78.0
862939512331509310,10704,308,78.0
817502259871229692,423145371,119,78.0
979073,5359193,288,77.0
357576,1809535,230,77.0
3350180,1820272,197,77.0
934979,5044674,121,77.0
961333952373499115,523458215,83,77.0
40509023,230528220,8,77.0
5867271,20886062,292,76.0
1933025,8344816,103,76.0
20812821,24617404,279,76.0
28688045,84866858,35,76.0
23990807,171753883,219,76.0
906559,1820272,193,75.0
3535864,8843962,334,75.0
20626518,36233647,102,75.0
827628743454560099,284040766,45,75.0
48585016,7197028,267,75.0
51845044,3678711,175,75.0
943440538299324133,515987684,76,75.0
7652799,2688205,226,75.0
994793512972717331,48645551,221,75.0
2439919,12472530,217,75.0
2788720,14262872,180,75.0
41734647,4985749,180,75.0
2576955,5226055,256,75.0
1867951,9737137,190,75.0
749276559600049796,481799583,156,75.0
2082868,10639570,117,75.0
2078332,10619790,79,75.0
615381,3050422,328,75.0
719440411250596953,480159407,324,75.0
42151836,131028869,330,75.0
12622252,893805,321,75.0
1215049,5940318,303,75.0
34770183,7349396,154,75.0
875178176686290633,511187629,62,75.0
29941662,18002674,108,75.0
1098571,5223863,61,75.0
1060614,5472538,172,75.0
24978503,171753883,282,75.0
24722608,125929986,189,74.0
41923515,1211618,319,74.0
839061743166124060,176514024,157,74.0
773886,893805,314,74.0
7954069,27954529,299,74.0
40603869,227101698,181,74.0
907654042572227131,250133187,324,74.0
1199594,6467356,231,74.0
982915,5385759,308,74.0
686688413812870347,59223335,28,74.0
45679907,183689967,246,74.0
51204339,413276404,339,74.0
40549949,314125750,19,74.0
50477947,1254851,149,74.0
2451930,718762,172,73.0
1659522,4147219,144,73.0
5124937,26489217,200,73.0
563461909265183396,362312215,203,73.0
26920348,146682595,25,73.0
22170061,161945491,279,73.0
963075933164660146,383734495,104,73.0
25828168,131028869,312,73.0
34523402,4006184,316,73.0
34305195,258723902,322,73.0
27193598,204752411,71,73.0
1051389055033236390,3678711,174,73.0
32305209,116807111,109,73.0
38512490,23573776,137,73.0
3773767,1449285,292,73.0
757149,3987152,94,73.0
47709894,4985749,152,73.0
881827237241010174,512639716,106,73.0
1529855,8160375,171,72.0
1016070204572129662,287672372,49,72.0
1016059513765156078,287672372,52,72.0
9521249,7416666,78,72.0
4207444,21825503,213,72.0
5856211,17532317,178,72.0
881663941105028125,46159733,259,72.0
20692509,11138605,268,72.0
1986412,10091776,209,72.0
635426407936522040,1990327,59,72.0
35142124,64515600,329,72.0
666515186487242337,329609049,127,72.0
10038461,4687292,288,72.0
910865996789469294,432485979,283,72.0
31273922,183689967,253,72.0
969658917795252587,226513330,245,72.0
53323226,36020914,247,71.0
31977858,237151305,218,71.0
6152624,13776330,256,71.0
330957,893805,315,71.0
947575777497869385,519372295,77,71.0
908155567216512989,146119205,120,71.0
783902044723931509,356289279,287,71.0
52868638,428047281,103,71.0
2926905,14945317,310,71.0
1392132,7167787,185,71.0
23284399,170513081,351,71.0
976651844193309363,292287089,49,71.0
11004309,2688205,255,71.0
879509664098716584,511837914,69,71.0
37169516,2565364,151,71.0
52312146,193874212,180,70.0
961439099010415824,353119373,78,70.0
