host_id,host_name,total_properties
194270248,Eli,7
4258623,08028,7
548947167,Blau Student Housing,7
400416,Cens Sl,7
106282219,Dimitar And Marija,7
28669171,Nayu,7
584621628,Wander,7
413276114,Catalonia Barcelona Plaza,7
4653599,Gemma,7
14120404,Richard And Alba,7
42126341,Oriol / Virginia,7
423400965,La Maison,7
3937003,Pedro,7
4897883,Simona,7
4762195,Octavi,7
407597998,David & Nani,7
160554212,Barcelona,7
404888119,Hostal Sol,7
313101920,Alba,7
392248330,Carolina And Camilo,7
504452584,Isa,7
460530913,Rosa,7
462551773,Charles,7
405115394,Hotel Ginebra,7
210668649,Marjorie De Yurbban Passage,7
4390304,Max,7
392973790,James,7
96299106,"Olvan 00, S.L.",7
2748428,Sha,7
49095152,Eco Boutique Hostal Grau,7
48645551,Apartamentos,7
3403659,Montserrat,7
9456665,Hip Karma,7
363074093,Hostal,7
455307697,Atemporal,7
1298586,Kristjan & Ana,7
285291478,Alex,7
416602788,Bcn Clols,7
420938544,Hostal,7
238751669,Jordi,6
3799101,Pablo,6
447208197,Casa Consell Bailen,6
24729911,Francois,6
581651504,Karen,6
15884961,Enjoy,6
338971842,Acta Voraport,6
57236849,Emilija,6
333355801,The Moods Oasis,6
572631197,Lesly,6
223478478,Tariffy,6
9171437,Hola,6
517282109,Manuel,6
517835451,Torns,6
2151490,Juan,6
433428489,Sunotel Aston,6
21793560,Imanol,6
442326369,Chic And Basic Habana Hoose,6
250036779,Gunnar,6
488117,David Y Maria,6
27778700,Juan Carlos & Nina,6
348396924,Carles,6
524049094,El Palauet,6
62891411,Laura,6
6227060,Anne,6
173771925,Peizhen,6
171753883,Beatriz,6
170804023,Marcos,6
5414684,Alex,6
81653603,Denis,6
81232989,Amra,6
511985583,Lucas,6
3618257,Alberto,6
260172468,Maria,6
307504641,Orobium,6
16163954,Weflating,6
5796387,Jürgen,6
385460765,Blanc,6
123413775,Uma,6
902253,Jordi,6
49813494,HostPro,6
7492467,Sofia,6
428499979,Hotel Meson Castilla Atiram,6
428498747,Hotel Oriente Atiram,6
10116421,Juanjo,6
374138888,Líbere,6
184993404,Adriana De Buho Boutique Rooms,6
53155665,Hostal House,6
358847313,Gabriel,6
1709128,Denis,6
259406467,Apca,6
264070042,Carlota,6
325564929,Yasha,6
541661285,Jordi Pier,6
168078442,Mercedes,6
504702757,Jon,6
460923619,Marcos,6
10249776,Schwarz,6
505337971,Casa Jam,6
563436426,Gaston,6
11657346,Oriol,6
397201984,El Born Guest House,6
210667873,Marjorie De Yurbban Trafalgar,6
3348832,Mathieu,6
117888638,Agustin,6
463106818,Sam,6
285584271,Casa Lolita,6
483006743,Chi,6
42906962,Luis,6
196837591,Alba,6
2757645,Anna-Ralph,6
15052431,Pilar,6
4918740,Francesca - Charming Flats,6
470967771,Guillermo,6
279764200,Solarium,6
154788425,Marta & Cesc,6
200109747,Carlos Del Hotel Boutique Hostemplo,6
201741093,Your.Rentals,6
14162823,Eike,6
406390813,Nick,6
146859530,Happy Houses Barcelona,6
420963332,"Inn Ninot Barcelona,",6
414023745,Catalonia Catedral,6
14580203,Brummell,6
375625,Xavier,6
577027622,Emmnuel Dario,6
127482361,Apkeys,6
231456318,The Streets Apartments,6
4039955,Fabrice,6
131028869,Belén,6
8201277,Marcela,6
3885805,Gimena Ana,6
444617574,David,5
26193907,Gerardo,5
249829780,Holger,5
577964492,Noelia Gisel,5
579657806,Antonio Ivanildo,5
579895364,Luis Alberto,5
339889754,Ricardo,5
340466110,ONA Hotels,5
341323870,Hostal Nitzs BCN,5
130241298,Tucuman,5
131674933,Ruben,5
8130969,Mar,5
576628686,Dehmel Roberto,5
22886148,Inversiones,5
28043451,Barcelona Sants Station,5
29493595,Durlet Apartments,5
126280451,Anna,5
413275475,Catalonia Plaza Catalunya,5
281641688,Casa Lirio,5
201254392,The Corner-By Aspasios,5
555762580,Ayelen Y Carlos,5
557047539,Home Advice Spain,5
1141201,Ricard,5
421864869,Hotel Upper Diagonal,5
4472095,Barcelona,5
4627509,Barbara,5
478007968,Morge,5
478093362,Casp Green,5
152083789,Shota,5
154040549,Manuel,5
146347819,Francis,5
414023443,Catalonia Ramblas,5
414025104,Catalonia Square,5
46696994,Gunnar,5
401987097,Olivia,5
4855882,Attilio Y Maria,5
481799583,Sinisa,5
3038197,Liliana,5
485007800,Christophe,5
97797707,Feel At Sants,5
486106415,Daniel,5
489714418,Silvia,5
198421177,Bego Y Juan,5
475638347,Pavel,5
562198039,Cesar,5
41832053,Sonia,5
20003337,Eva,5
43023333,Roger,5
470938089,Gino,5
114776439,Rosa María,5
96337383,Mathilda,5
11175625,Xavi,5
551998562,Inmobiliaria,5
300793647,Brian,5
302714385,Eric,5
1257705,José Luis,5
550471684,Jesús,5
1363244,David,5
390770038,Rightplace,5
396097003,Daniel,5
272013266,Mayerling Abamita,5
211071366,Xavier,5
266006958,Sata Sagrada Familia,5
88699083,Oscar,5
375235871,Julio Manuel,5
384577529,Praktik,5
194229020,La Casa De Antonio,5
98585331,Hotel,5
2830568,Hostal,5
269464337,Ana,5
39328627,Enjoybcn,5
13709789,Selene,5
138406197,Maria,5
124237410,Iban,5
458862217,Placeta,5
3465149,Jordi,5
140007238,Oscar,5
10911051,Pool Houses Barcelona,5
294462605,Hotel Oasis,5
539372932,Giusepe,5
51838891,Anna,5
5170597,SamFlat,5
5201227,Jose & Patricia,5
321268305,Andrea,5
321273659,Liu,5
537848787,Maria Dolores,5
163049206,Nayma,5
163333365,Beatriz,5
82547989,Joonas,5
507379004,Mirna Y Manuel,5
2537484,Enrique,5
166548554,Juan Luis,5
568367896,Canela Homes,5
568367915,Sant Jordi Apartments,5
216268236,Yair,5
265139594,Ofelias Hotel,5
674212,Juanmi,5
3558883,Joaquin,5
5384959,Marvin,5
13530812,Lili,5
126010926,Ramblas Rentals,5
4269183,Alba,5
8843962,Eduard,5
254288676,Liliana Del Pilar,5
431710915,Eli,5
432137725,Chic And Basic,5
453885426,Abdelmalek,5
446537935,Claudia And Jhon,5
433116009,Hotel Sixties,5
58996772,Sweet,5
333092064,Lodging,5
333353416,Isabellas House,5
78591611,Aida,5
15852448,Olga,5
79703460,Elizeth,5
70278696,Miguel,5
72842971,Marc,5
355345015,Fran,5
370146799,Hostal,5
514124696,Bryan,5
1820272,Rosa,5
521244525,Layla Carolina,5
2084522,Zhanna,5
61674344,Fgv,5
7906740,Angeles,5
224777598,Apartamentos Sata,5
574707481,Tetiana,5
227962845,Apart,5
434349852,Hotel Monegal,5
12980367,Sylvie,5
26787977,Disset,5
582044120,NH Collection Barcelona Consta,5
586662288,Emilia,5
24931874,漫步,5
24360600,Montse,5
26513958,Josep,5
231081548,Onix,4
232691262,Max,4
237360833,Simbad Inversiones,4
8164313,Jordi,4
22059065,Juan,4
441889600,Pablo,4
132477952,Javi,4
133893358,Jordi,4
447205324,Soul Backpackers,4
3815137,Jose Antonio,4
580831776,Marc,4
228344563,Javier,4
251710733,Magda,4
252982300,Ferran,4
229977532,Sofia,4
576279208,Martha Alessandra,4
8876390,Enric & Packo,4
258124938,Patio De Gracia,4
226987961,Terrallar S.L.,4
30833658,Luderna,4
573672023,Denys,4
573990304,Cinthya,4
491007,Illa,4
3635577,Emerson,4
136873960,Jordi,4
435322054,Maria,4
455799150,Maria,4
457526312,Ruddy,4
445171533,Toc Hostel,4
258626123,Monica,4
258720354,Gaudi,4
258723902,Colon,4
258951331,Alguera Sant Andreu,4
572626217,Eduard Rene,4
612665,Oscar,4
573504457,Beshim,4
430226043,Hotel Onix Fira,4
12686518,Stefanie Y Joan,4
458386790,Valen Y,4
459330470,Som Nit,4
461806653,Borjas,4
219668721,Negresco Princess,4
220888840,Bailen,4
568847772,Ross,4
569518471,Harmony Residences Gracia,4
36098380,Kelly,4
36233647,Melissa,4
567056909,Abel,4
762513,Marcela,4
216022722,A Team Member Of The Ronda Lesseps,4
216706365,Hotel,4
267367998,Noly,4
270230553,Linda - BELVILLA,4
7260546,Michael,4
428500921,Hotel Tres Torres Atiram,4
12527853,David,4
117890550,David Y Maria,4
468310649,Numa Caja,4
7297778,Vicente,4
213113891,Inna,4
39473410,Mai,4
852380,Ilker,4
565734236,Diego,4
40270145,Tina,4
566497881,Maximo Pablo,4
472170668,Ilker,4
421972414,Andrea,4
146119205,Angel,4
148094928,Miruna,4
414024648,Catalonia Gran Via BCN,4
41209835,Neza,4
1035045,Montserrat,4
562011925,Roman,4
562143156,Yu Ga,4
19749333,David,4
7209763,Mike,4
276201572,Uri,4
41933599,Alvand,4
43259405,Silvia,4
274419996,Salles Pere IV,4
282364620,María,4
284943061,Hostal,4
43993390,Javier,4
1267680,Victor,4
199409418,Maria Fernanda,4
3310089,Diana,4
473522105,Jesus,4
477190159,Javier,4
108551851,Xiaoli,4
4498407,Barcelona,4
413275724,Catalonia Diagonal Centro,4
555644598,Pestana Arena,4
555758524,Claudia Yulieth,4
195942000,Adriana De Bruc & Bruc,4
1254851,Romina,4
47059252,Christophe Mathias,4
197064207,Ocean Drive,4
413276961,Catalonia Eixample,4
4617024,Inarco,4
413277208,Catalonia Born,4
148901183,José Luis,4
107294697,Jess,4
14163367,Andy,4
14216613,Arne,4
3123165,Luis & Remo,4
479722923,Catalonia Park Putxet,4
414024951,Catalonia Passeig De Gracia,4
6709450,Alessandro,4
1527960,Pere,4
546627438,Vincci Bit,4
309656956,Ingrid,4
312195720,Sant Pau RAMBLAS,4
50887257,Houxury,4
540456518,Pierre Et Vacances,4
541443871,Anabel,4
543020323,Rahma,4
320574816,Hotel Prisma,4
151051795,You Stylish Barcelona,4
152511452,Val,4
153328265,Mohamed,4
104441575,Atirova,4
413276651,Catalonia Portal De L'Àngel,4
6600521,Lali-Luis,4
51994103,Hotel Nouvel,4
537743622,Raquel,4
182265018,Xavier,4
10582280,Mariscos,4
328386510,Rafael,4
6166581,Koni,4
184373428,Blue-Jasmine,4
4950474,David And Maria,4
14821932,Bed Art,4
485761449,Philippe,4
490308369,Felipe,4
491199952,Patricia,4
491297019,Caliu Housing,4
3073594,Julien,4
59223335,Anna,4
178760074,Hotel Condal,4
333682186,Nacho,4
523314637,R&B Apartments,4
524852684,Trieste,4
336522213,Weflating,4
16583473,Alphons,4
339008424,Kenny,4
521719534,Christian,4
63229593,Serennia,4
403015413,Cynthia,4
4959266,Lux Apartments,4
4961284,Praktik Rambla,4
395918039,Adolfa,4
397090058,Caterina,4
104876399,Charmsuites,4
2273079,Florenza,4
347777780,Paral-Lel 15,4
517497287,Liahn,4
69815537,Fortuny,4
71537343,Hector,4
72717509,Jade,4
73910042,Barcelona,4
2337603,Rosa,4
76728699,Barcelona Center,4
76881375,Casa Gracia Apartments,4
373330392,Hotel Arenas Atiram,4
368520818,Lucas,4
76492204,Ivan,4
515124454,Antonia Y Andres,4
159231006,Natalia,4
160690738,Juan Jose,4
496828381,Olena,4
496944303,Lourdes,4
499033875,Apartamentos DV,4
500788094,Alejandro,4
491301242,Anelo,4
101486625,Iggy,4
510429037,Sebastian,4
2525519,Imma,4
503460304,Ariana,4
372637490,Jordi,4
80476106,Fernando,4
80541272,Toly,4
88852747,Xavier,4
93833963,Maria,4
14957011,Aurelien,4
5349333,Sarah,4
386695668,Olga,4
503523430,Numa Colmena,4
2608358,Alicia,4
85283418,Jordi,4
88931469,Jonatan,4
378564892,Julio,4
378683954,Elaine,4
385593314,Serhii,4
15268164,Elimonger,4
93433349,John,4
241046485,Montse,4
238503767,Apartamentos Sata Park Guell Area,4
27515602,Emilia Y Luis,4
23213732,Silvia & Josep Lluis,4
585628670,Carlos Andres,4
586914980,Monica Alejandra,4
3971935,Carmen,4
443251325,Leo,4
27954529,Anders,4
366654,Watermelon Barcelona Apartments,3
578791403,Cinthia Celia,3
443218453,Yanina,3
443059002,Carolina,3
132198573,Sara,3
131771466,Silvia,3
132596381,Minerva,3
133802717,Agustina,3
134509876,Mile,3
446797445,Michaela,3
3800200,Leonardo,3
131178104,Maria,3
26913749,Brawnie,3
31325463,Michele,3
227783078,Lina,3
228209547,Eric,3
229086111,莉莉,3
8157090,Adrian,3
8741702,Ingrid,3
575576414,Henry Guisseppe,3
23104223,Shuli,3
28503043,Efrain,3
505163999,Anh,3
2608724,Stay Together Barcelona Apartments,3
85865864,Amanda,3
398136693,Pablo,3
158286631,Vince,3
377498115,Roger,3
377967173,Conexiones Vacacionales,3
5274991,Soler,3
11256699,Andrey,3
11301631,Decimonónico,3
11332344,Jordi,3
82620250,Alfredo,3
15419030,Olga,3
505871517,Rodrigo,3
502558162,Guher,3
8509514,Graham,3
98330509,Apart-Suites,3
500917404,Elena,3
502171790,Rodolfo Y Nicola,3
509141511,Barce,3
168877958,Som Nit Born,3
371760227,Eduardo,3
371891676,Numa | Roca,3
15681396,Gabriela,3
15738246,G. Carolina,3
2598629,Nextor,3
511994727,Yulia,3
88106220,Easystaybcn,3
94112362,Santiago,3
14979846,General Estate,3
391416308,Alfonso,3
5144517,Fernando Swindontravelers,3
2509155,Natasha,3
80862839,Jose Gregorio,3
513747638,Juan David,3
2394743,Javier,3
76650569,Mo,3
11000172,Fenrosa. S.L,3
11138605,Bruno,3
16314311,Merce,3
514540365,Marim,3
506626343,Chi Wei,3
506900395,Serdar,3
491705829,Vlad,3
495554080,Juan,3
498847639,Gisi,3
15079522,88delaRambla,3
98154816,ANT Hostel,3
5057234,Pablo,3
5070884,Laia,3
400540575,Svetlana,3
404740164,Close To Paseo,3
405114289,Evlo Memet,3
5020114,Marc,3
394998732,Antonio,3
396302132,Rene,3
406528119,Casa Vaganto,3
2246766,Aliaksei,3
171824614,Mauro,3
5784650,Franc,3
348675198,Praktik,3
349601831,Flor,3
2143907,Daniel,3
68522782,Egor,3
529583861,Concepcion,3
354301705,Hotel Transit Barcelona,3
340465932,Ona Hotels,3
340736361,Hessam,3
340955357,Dmitriy&Jaume,3
342601808,Francisco,3
522845846,Vine A Casa,3
2083075,Rentemporal Barcelona Sl,3
64515600,Alguera,3
64763737,Nina,3
62075195,Mariona,3
62198286,Lara,3
2092211,Lucia,3
516293433,Jesus,3
516701794,Rayan,3
11426239,Dolors & Enric,3
55572743,Jaume Jordi,3
55707535,Maxime,3
17688149,Ana,3
532184743,Mykola,3
523962032,Silvy,3
524674628,Angela,3
525321393,Andre,3
5947431,Klaus,3
176514024,Luis,3
176745022,Sandra,3
177860605,Valentina,3
178753871,Hotel El Call,3
17469787,Cristina,3
1994100,Marcello,3
1995385,Ana,3
526625804,Cynthia,3
406925898,Michael,3
4864707,Rocío,3
407850164,Kurt,3
154715664,Zac,3
154865926,María Cristina,3
486065929,Patrimonial Global,3
486433748,Лариса,3
488340609,Eric,3
3041368,Inder,3
59152387,Saskia,3
60874180,Hostal,3
179173905,Alecs Y Carola,3
180215498,Jordi,3
180659848,Edu,3
181287056,Som Nit Triomf,3
55366754,Yolson,3
54716818,Jorge,3
309234806,Zhanna,3
309646127,Telos,3
534577307,Dareen,3
534803193,Waheeda,3
535106530,Isabel,3
535471009,Luis,3
56855891,Ancry,3
325642121,Pierre,3
327766078,Jose David,3
330369551,Nanou,3
185683949,Carlos,3
187313384,Antoni,3
187790332,Carlos,3
530608834,Reymon,3
59065468,Karyna,3
413275077,Catalonia Port,3
102449683,Gilbert,3
3080717,Leonor,3
3093079,More,3
480602819,Alex,3
481875182,Alba,3
485033416,Mark,3
413276404,Catalonia Gracia,3
6274273,Eric,3
6299958,Pedro,3
1766283,Salvatore,3
538222904,Hotel LeMar,3
538230310,Agustin,3
538240196,Danielfelipe,3
539079785,MoquevindoSL,3
18219353,Javier,3
18944312,Jonatan,3
19013284,Raquel,3
310640173,Roberto Andrés,3
314495849,Chris,3
6482644,Eloy & Maria,3
6541786,Noemyh,3
49861895,Julio,3
50885817,Daniel,3
539406652,Ana,3
539685683,Mikhail,3
51083725,Caio,3
51617231,Natalia,3
320255869,Emmanuela,3
412032745,Patricia Janeth,3
4714408,Luciano,3
412694324,Catalonia Magdalenes,3
191345418,Sanaz,3
12103517,Iván,3
108441327,Rubiol,3
479615840,Emma,3
479722122,Catalonia Mikado,3
3038266,Ingrid,3
415195922,Ingrid,3
192212284,Cosmopolitan,3
192490735,Alerson,3
10180380,Rosa,3
305453169,Sebastian,3
307900596,Lizzia,3
10231574,Graciela,3
546627713,Vincci Gala,3
546777403,Carlos,3
548566937,Tian,3
554006393,Anastasiya,3
290100009,Floriane,3
291259015,Jon,3
49431960,Nina,3
49577798,Tamirlan,3
195335908,Carlos,3
9937293,Mercé,3
10009096,Ariadna,3
296515283,Francisco,3
302849450,Coimpact Coliving,3
1369675,Javier,3
1411775,Jeremies,3
19433869,Maria,3
198108525,Alvaro,3
198334993,JuanCa,3
18223395,Cristhian A,3
109478015,Rey,3
109716786,EasyFlat,3
111248996,Teo,3
113082592,Lilya,3
13953449,Dedicacion,3
469211146,Holidu,3
471646754,Lodging Apartments,3
199670224,Patricia Chic Room,3
9799898,Carlos,3
287290414,Durlet Apartments,3
287734421,Николай,3
288314593,Héctor,3
45470891,Angel,3
45587972,Oriol,3
46637327,Maria Victoria,3
551955572,Angie,3
292287089,Mike,3
6787519,Sergio,3
281663581,Simocry,3
281729072,Cristian,3
9922976,Isa  Y Juan,3
44774469,Marc,3
1260560,Ralph,3
556377090,Yamyly,3
556936099,Alioune,3
557568071,Roberto,3
557572264,Pablo,3
44871936,Gisela,3
198580561,Juanca,3
3297466,Rosa Leni,3
473311614,Alejandro,3
475000412,Hanna,3
564598809,A.,3
936445,Alexandre,3
942210,Pia,3
9529012,Kim,3
7347569,Max,3
7521925,YayaMaria Sisters,3
202654862,Flateli,3
9670576,Jade,3
277329714,Mar,3
277542833,Aleks,3
277690804,Julio,3
7085436,Max,3
280611660,Diana,3
1221038,Mar,3
561202720,Sugianto,3
1013855,Alejandro,3
7202104,George,3
3293439,Augusto,3
12152799,Núria,3
12218117,Maria Victoria,3
421971234,Hotel Praktik Vinoteca,3
422801943,"Cirrus Latinoamérica,Sl",3
146282111,Ramiro- Alejandra-Hilda,3
147874967,Mila,3
11994044,Paola,3
414023604,Catalonia Avinyó,3
3454952,Eduard,3
428383673,Unite Hostel,3
41349300,Ruben,3
41525142,Príncipe Jorge,3
564109606,Miguel Angel,3
564238111,Ocean Drive Barcelona,3
117928328,Rafael,3
3508504,Claudia,3
463553544,Merce,3
13810481,Yök,3
123392948,Priscila,3
468392681,Graciela Y Gabriel,3
125955617,Мария,3
13426564,Trevor,3
212429069,Felipe Elisa,3
212707767,Lu (Luciano),3
38461119,Caroline,3
39169031,Elisa,3
40377641,Lina,3
